location,essentia_key
/Users/aokeeffe/Music/Music/Media/Music/Aaron Ahrends/Unknown Album/Little Space.mp3,Key 12m
/Users/aokeeffe/Music/Music/Media/Music/Against All Logic/2012 - 2017/06 Such a Bad Way.mp3,
/Users/aokeeffe/Music/Music/Media/Music/Agaric/Unknown Album/No Way I Know I Feel (Axel Boman Remix).mp3,Key 5d
/Users/aokeeffe/Music/Music/Media/Music/Agoria/Unknown Album/Solarized.mp3,Key 12m
/Users/aokeeffe/Music/Music/Media/Music/Akufen/Unknown Album/Train To Barcelona.mp3,Key 3d
/Users/aokeeffe/Music/Music/Media/Music/Al Rajul Al Hadidi/Unknown Album/Void.mp3,Key 9m
/Users/aokeeffe/Music/Music/Media/Music/Aleksandir/Unknown Album/Dreams.mp3,Key 6d
/Users/aokeeffe/Music/Music/Media/Music/Aleksandir/Unknown Album/Yamaha.mp3,Key 10m
/Users/aokeeffe/Music/Music/Media/Music/Compilations/Music Lovers Club #002/11 Meme.mp3,Key 7d
/Users/aokeeffe/Music/Music/Media/Music/Andre Bratten/Unknown Album/Aegis.mp3,Key 9m
/Users/aokeeffe/Music/Music/Media/Music/Andy Pickford/RadioSilence_ Objective Linearity (general release version)/02 Temple of The Wonklord.mp3,Key 3m
/Users/aokeeffe/Music/Music/Media/Music/Aphex Twin/Unknown Album/Iz-Us.mp3,Key 8d
/Users/aokeeffe/Music/Music/Media/Music/AQUARIUS HEAVEN/Unknown Album/Universe.mp3,Key 3d
/Users/aokeeffe/Music/Music/Media/Music/Compilations/Music Lovers Club #001/11 If It Means This Much To You.mp3,Key 2m
/Users/aokeeffe/Music/Music/Media/Music/Compilations/Music Lovers Club #002/12 Any Kind of Magic.mp3,
/Users/aokeeffe/Music/Music/Media/Music/Compilations/Music Lovers Club #003/02 Summon Ghosts.mp3,Key 11m
/Users/aokeeffe/Music/Music/Media/Music/Axel Boman/Unknown Album/Eyes Of My Mind.mp3,Key 1d
/Users/aokeeffe/Music/Music/Media/Music/Axel Boman/Unknown Album/Hello.mp3,Key 11m
/Users/aokeeffe/Music/Music/Media/Music/Axel Boman/Unknown Album/Purple Drank.mp3,Key 3m
/Users/aokeeffe/Music/Music/Media/Music/Behling and Simpson/Unknown Album/Left Behind.mp3,Key 2m
/Users/aokeeffe/Music/Music/Media/Music/Ben Pearce/Unknown Album/What I Might Do.mp3,Key 10m
/Users/aokeeffe/Music/Music/Media/Music/Bibio/Unknown Album/Lovers Carvings (Catz 'n Dogz Re-edit).mp3,Key 9m
/Users/aokeeffe/Music/Music/Media/Music/Bicep/Unknown Album/Just (Original Mix).mp3,Key 12m
/Users/aokeeffe/Music/Music/Media/Music/Black Loops/Unknown Album/Sex.mp3,Key 12m
/Users/aokeeffe/Music/Music/Media/Music/Bostro Pesopeo/Unknown Album/Yes.mp3,Key 12d
/Users/aokeeffe/Music/Music/Media/Music/Botany/Unknown Album/Vision of This Earth Before Our Time.mp3,Key 12m
/Users/aokeeffe/Music/Music/Media/Music/Brigade/Unknown Album/Meet Me On Pluto!.mp3,Key 9m
/Users/aokeeffe/Music/Music/Media/Music/Compilations/DJ-Kicks_ Matthew Dear (Unmixed)/06 Ricky (Thatmanmonkz Remix).mp3,Key 10m
/Users/aokeeffe/Music/Music/Media/Music/Channel Tres/Unknown Album/Sexy Black Timberlake.mp3,Key 3d
/Users/aokeeffe/Music/Music/Media/Music/COMA/Unknown Album/Lora (Robag's Fandara Qualv NB).mp3,Key 4d
/Users/aokeeffe/Music/Music/Media/Music/Compilations/Music Lovers Club #002/05 Snagsens Delight.mp3,
/Users/aokeeffe/Music/Music/Media/Music/DAMH/Unknown Album/Black Night.mp3,Key 2m
/Users/aokeeffe/Music/Music/Media/Music/Compilations/DJ-Kicks_ Moodymann (Unmixed)/16 Cuz You're the One.mp3,Key 5m
/Users/aokeeffe/Music/Music/Media/Music/Daniel Bortz/Unknown Album/Boyz 2 Men (Original Mix).mp3,Key 1m
/Users/aokeeffe/Music/Music/Media/Music/Daniel Bortz/Unknown Album/Wohin Willst Du_.mp3,Key 11m
/Users/aokeeffe/Music/Music/Media/Music/Compilations/DJ-Kicks_ Moodymann (Unmixed)/30 Did You Ever.mp3,Key 1d
/Users/aokeeffe/Music/Music/Media/Music/Dave DK/Unknown Album/Don't Eat The Homies.mp3,
/Users/aokeeffe/Music/Music/Media/Music/Dave DK/Unknown Album/Jelly Legs.mp3,
/Users/aokeeffe/Music/Music/Media/Music/Dave DK/Unknown Album/Will Be Gone.mp3,
/Users/aokeeffe/Music/Music/Media/Music/David August/Unknown Album/Epikur.mp3,Key 9m
/Users/aokeeffe/Music/Music/Media/Music/DJ Boring/Unknown Album/Winona.mp3,Key 10m
/Users/aokeeffe/Music/Music/Media/Music/DJ Koze/Knock Knock/15 Seeing Aliens.mp3,
/Users/aokeeffe/Music/Music/Media/Music/DJ Koze/Kosi Comes Around/05 My Grandmotha.mp3,Key 8d
