apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength,bpm_rhythm,bpm_rhythm_confidence,bpm_percival
-9175606036320139693,Key 1d,0.9677,Key 10m,0.6807,Key 1d,0.9757,Key 1d,0.9831,Key 1d,0.992,Key 1d,0.872,Key 1d,0.8116,122.01,3.2493,122.32
-9118675462301238593,Key 2d,0.8162,Key 2m,0.8467,Key 2d,0.9092,Key 2d,0.8848,Key 2d,0.8787,Key 2d,0.8607,Key 2d,0.9136,118.0,2.2784,118.12
-9066100329033146223,Key 2m,0.7952,Key 2m,0.8311,Key 1m,0.8327,Key 2m,0.7917,Key 1m,0.8065,Key 2d,0.708,Key 2d,0.8699,122.88,2.3804,123.05
-8995335096116301045,Key 3d,0.7332,Key 3m,0.7453,Key 3d,0.7838,Key 3d,0.8225,Key 3d,0.7665,Key 3d,0.7801,Key 3d,0.6797,119.97,1.0541,120.19
-8947638436345153808,Key 4m,0.5956,Key 4m,0.5814,Key 3d,0.5707,Key 4m,0.6441,Key 4m,0.559,Key 3d,0.649,Key 3d,0.5789,115.94,1.8222,116.13
-8946897961646146718,Key 4d,0.8608,Key 4m,0.7107,Key 4d,0.8796,Key 4d,0.893,Key 4d,0.8531,Key 3d,0.879,Key 3d,0.8898,119.97,1.928,120.19
-8932389081613842858,Key 7d,0.7589,Key 8m,0.7641,Key 7d,0.8555,Key 8m,0.8402,Key 7d,0.8471,Key 7d,0.8643,Key 7d,0.8739,123.98,2.4691,123.78
-8798203659117990838,Key 11m,0.7585,Key 11m,0.783,Key 11d,0.8023,Key 12d,0.7752,Key 11d,0.7391,Key 11d,0.8388,Key 11d,0.9009,125.93,1.4334,126.05
-8772676235962720807,Key 1m,0.8471,Key 1m,0.8597,Key 1m,0.8197,Key 1m,0.8983,Key 1m,0.7575,Key 12d,0.7874,Key 12d,0.8966,96.92,2.6408,97.05
-8750403833602209037,Key 1m,0.8098,Key 1m,0.8089,Key 1m,0.7814,Key 1m,0.7777,Key 1m,0.7629,Key 1m,0.7054,Key 1m,0.6927,126.0,2.7857,126.05
-8664586770562840099,Key 11m,0.7893,Key 11m,0.7816,Key 11m,0.7594,Key 11m,0.7516,Key 11m,0.7661,Key 11m,0.6356,Key 11m,0.7891,111.96,1.6485,112.04
-8657101418717907301,Key 10m,0.8334,Key 10m,0.8099,Key 10m,0.8222,Key 1d,0.7317,Key 10m,0.8553,Key 10m,0.6143,Key 10m,0.8726,120.01,3.383,120.19
-8656412931983252698,Key 8m,0.8626,Key 8m,0.8759,Key 8m,0.9078,Key 8m,0.8545,Key 8m,0.8063,Key 8d,0.8569,Key 8m,0.9404,120.0,2.7839,120.19
-8653438490928766201,Key 5m,0.9472,Key 5m,0.9077,Key 5m,0.9167,Key 8d,0.8316,Key 5m,0.9751,Key 5m,0.6435,Key 5m,0.8451,114.0,2.4755,114.21
-8522800380129336674,Key 6m,0.83,Key 6m,0.836,Key 6m,0.8727,Key 6m,0.8594,Key 6m,0.7695,Key 6d,0.7831,Key 6m,0.8312,126.91,1.1767,126.82
-8521435469734567500,Key 10m,0.4574,Key 11m,0.4475,Key 9m,0.4539,Key 11m,0.4446,Key 10m,0.4883,Key 9m,0.466,Key 9m,0.5216,126.92,2.9109,126.82
-8495594148151683127,Key 7m,0.8716,Key 7m,0.8409,Key 7m,0.8871,Key 8m,0.7727,Key 7m,0.8722,Key 7d,0.6305,Key 7m,0.8986,123.04,2.3494,123.05
